model,MCS_p,in_MCS
M0,0.111,True
M1,0.111,True
M2,0.111,True
M3,0.093,False
M4,0.111,True
M5,0.079,False
M6,0.097,False
M7,0.111,True
M8,0.111,True
M9,0.111,True
M10,0.079,False
M11,0.111,True
M12,0.111,True
M13,0.111,True
M14,0.111,True
M15,0.111,True
