model,MCS_p,in_MCS
M0,0.119,True
M1,0.119,True
M2,0.119,True
M3,0.089,False
M4,0.119,True
M5,0.048,False
M6,0.119,True
M7,0.119,True
M8,0.119,True
M9,0.119,True
M10,0.119,True
M11,0.119,True
M12,0.119,True
M13,0.119,True
M14,0.119,True
M15,0.119,True
