loss,model,mean_loss,DM_star,p_two_sided,p_better,verdict
se_log,M3d,0.28591420148726127,-1.3061556181941074,0.19417579517832406,0.9029121024108379,worse
se_log,M4d,0.28521283009246584,-1.8120051804953408,0.07266474703556702,0.9636676264822165,worse
se_log,M5d,0.2850301490653264,-0.26138179157244956,0.7942781487193362,0.6028609256403319,worse
se_log,M6d,0.28485279897768867,-0.11150736290338767,0.9114136168177935,0.5442931915911031,worse
se_log,M7d,0.2835828982037802,0.835536542387212,0.40519458587936263,0.20259729293968132,better
se_log,M8d,0.28433144946766664,0.9691849165992275,0.33454125095296705,0.16727062547648353,better
se_log,M9d,0.2852764028517247,-0.8105152587235889,0.4193629931732539,0.7903185034133731,worse
se_log,M10d,0.28442821550785585,0.18740503787078241,0.8516821554473899,0.42584107772369495,better
se_log,M11d,0.2827244770964539,1.184125906528969,0.23887015539859457,0.11943507769929729,better
se_log,M12d,0.2833338387602637,0.6645862372181568,0.5076812046200043,0.25384060231000216,better
se_log,M13d,0.2832142865759211,0.7613578217419223,0.4480435035159682,0.2240217517579841,better
se_log,M14d,0.28290846154851745,0.7979637543038449,0.4265801802799709,0.21329009013998546,better
se_log,M15d,0.28265624957832874,1.151260714869729,0.2520768011302055,0.12603840056510274,better
qlike,M3d,0.1619630164667505,-1.338726842420738,0.183370635835991,0.9083146820820045,worse
qlike,M4d,0.16143304780387863,-1.533530592169986,0.12796516900914545,0.9360174154954273,worse
qlike,M5d,0.16120382537359335,-0.3005790080413134,0.7642927804222466,0.6178536097888767,worse
qlike,M6d,0.16112021039856783,-0.18208348761830326,0.8558463591978818,0.5720768204010591,worse
qlike,M7d,0.16008686382155485,0.8911344221961934,0.37476745343199447,0.18738372671599723,better
qlike,M8d,0.16078530715367495,0.5622853706483066,0.5750452607367795,0.28752263036838976,better
qlike,M9d,0.1613853186505099,-0.790777064749594,0.4307454063976215,0.7846272968011893,worse
qlike,M10d,0.16085046081586238,0.09700596528583684,0.9228950341154769,0.46144751705773845,better
qlike,M11d,0.15989060787393533,0.8323513358629837,0.406981950611053,0.2034909753055265,better
qlike,M12d,0.16054709230591258,0.28931850296597694,0.7728725275608479,0.38643626378042395,better
qlike,M13d,0.16036823627666172,0.4507486977064391,0.6530420984984862,0.3265210492492431,better
qlike,M14d,0.16036291874526573,0.3219092373310563,0.7481215007816817,0.37406075039084086,better
qlike,M15d,0.1598901218755799,0.804624112292522,0.42274133484911935,0.21137066742455968,better
