loss,model,mean_loss,DM_star,p_two_sided,p_better,verdict
se_log,M0,0.2847185109882247,,,,benchmark
se_log,M1,0.28218389293266916,1.512747547176026,0.13316050221477638,0.06658025110738819,better
se_log,M2,0.2758841932978559,1.8835412919896641,0.06222065771459406,0.03111032885729703,better
se_log,M3,0.2863522731499085,-2.455963364125278,0.015586900444761964,0.9922065497776191,worse
se_log,M4,0.28362613953816185,1.63919392740049,0.10397893722815077,0.051989468614075385,better
se_log,M5,0.28712981242268215,-2.3808409183577948,0.018961131835258715,0.9905194340823708,worse
se_log,M6,0.2856246259096223,-0.807423759336188,0.4211338366770705,0.7894330816614648,worse
se_log,M7,0.28542341616641376,-0.4924862015717789,0.6233397236858469,0.6883301381570764,worse
se_log,M8,0.2836593555275584,0.7206693732404867,0.47261446358677994,0.23630723179338997,better
se_log,M9,0.2850702972584686,-1.1936867113530758,0.23512279083667575,0.8824386045816621,worse
se_log,M10,0.2852718988543427,-0.29700431958899537,0.7670133335842966,0.6164933332078517,worse
se_log,M11,0.27940068331903245,1.0601488859044912,0.2913577606826827,0.14567888034134135,better
se_log,M12,0.2776172385229195,1.5265117347116473,0.1297015775354582,0.0648507887677291,better
se_log,M13,0.2776761767973196,1.453137870875617,0.14898162762141687,0.07449081381070843,better
se_log,M14,0.2768616848948553,1.595935969234784,0.11332098671103275,0.05666049335551637,better
se_log,M15,0.27819704427649494,1.2552571162455914,0.21199816285810558,0.10599908142905279,better
qlike,M0,0.16097158947633208,,,,benchmark
qlike,M1,0.1595938786019586,1.1052453254838368,0.2714219126027826,0.1357109563013913,better
qlike,M2,0.15326289004353616,1.9843136968238118,0.04966657557400378,0.02483328778700189,better
qlike,M3,0.16228485709338078,-2.556558865720362,0.011909915808566485,0.9940450420957168,worse
qlike,M4,0.16002655519157527,2.230883064718863,0.027681049530365653,0.013840524765182827,better
qlike,M5,0.16243831600128258,-2.2538562183382904,0.026151277561454522,0.9869243612192727,worse
qlike,M6,0.16097738027640143,-0.008168397493406409,0.9934971661497194,0.5032514169251403,worse
qlike,M7,0.16064994318996323,0.32268088131277384,0.7475385380262116,0.3737692690131058,better
qlike,M8,0.15960999600483364,1.08158873532991,0.2817586247257704,0.1408793123628852,better
qlike,M9,0.16127650462836446,-1.6830733447653217,0.0951464982427781,0.952426750878611,worse
qlike,M10,0.16040425760406143,0.38653755521221966,0.6998319805376982,0.3499159902688491,better
qlike,M11,0.15472925425072176,1.5334695331175752,0.12798019514516268,0.06399009757258134,better
qlike,M12,0.15457107776872686,1.6500676230444085,0.10173087898696265,0.050865439493481324,better
qlike,M13,0.15465695986022615,1.5571818137134221,0.12224862990384189,0.061124314951920944,better
qlike,M14,0.15390097913620476,1.7831727382713707,0.0772669585270187,0.03863347926350935,better
qlike,M15,0.15408609762649797,1.6224678535121495,0.1075148407302915,0.05375742036514575,better
