loss,model,mean_loss,DM_star,p_two_sided,p_better,verdict
se_log,M0,0.1974057769042303,,,,benchmark
se_log,M1,0.1969398290392621,0.7602943105540239,0.44867623577444204,0.22433811788722102,better
se_log,M2,0.19086013466308602,1.585615634921655,0.11564600190961039,0.05782300095480519,better
se_log,M3,0.1988490358180585,-2.550004709852184,0.012123337007214241,0.9939383314963929,worse
se_log,M4,0.1967341694648156,1.1223699104776617,0.26410554867338165,0.13205277433669083,better
se_log,M5,0.19978842862098328,-2.394506368844606,0.01830294053224768,0.9908485297338762,worse
se_log,M6,0.1989221497963627,-1.2816135507324302,0.20262514757212902,0.8986874262139355,worse
se_log,M7,0.19886121041778299,-1.0305807879049333,0.30495784888388955,0.8475210755580552,worse
se_log,M8,0.19767606303361,-0.21406101090499102,0.8308887048179923,0.584555647591004,worse
se_log,M9,0.19744945779968517,-0.7250756083341557,0.469917828634812,0.765041085682594,worse
se_log,M10,0.1990728391169159,-0.9519084374848943,0.3431931991849664,0.8284034004075168,worse
se_log,M11,0.1934591333526819,0.8477621868263101,0.39837849123173985,0.19918924561586993,better
se_log,M12,0.1923733434998498,1.2317149283944036,0.22063543976163769,0.11031771988081884,better
se_log,M13,0.19248399546426054,1.1953177587178938,0.2344877349775072,0.1172438674887536,better
se_log,M14,0.1911026149043262,1.4950899404753155,0.13770330668194597,0.06885165334097298,better
se_log,M15,0.1927896234112045,0.9720495299419426,0.3331205606303522,0.1665602803151761,better
qlike,M0,0.11416215312244529,,,,benchmark
qlike,M1,0.11398613871715392,0.371862299928566,0.710697994008838,0.355348997004419,better
qlike,M2,0.1061843076665568,2.2856201414946726,0.02415832704533427,0.012079163522667136,better
qlike,M3,0.11518573822117732,-2.5972729124481058,0.010658139458569638,0.9946709302707153,worse
qlike,M4,0.11333424194978117,2.0753473942055547,0.04024445785723252,0.02012222892861626,better
qlike,M5,0.11524271501514963,-1.918493112024755,0.05759414221025261,0.9712029288948738,worse
qlike,M6,0.11396810801646659,0.27616914128017067,0.7829271104708373,0.39146355523541865,better
qlike,M7,0.11386698980761956,0.34135130680118203,0.733478702571086,0.366739351285543,better
qlike,M8,0.11305636655333828,1.172877866550841,0.24333327274589878,0.12166663637294939,better
qlike,M9,0.11419678026400452,-0.859887006586806,0.39168819266100696,0.8041559036694965,worse
qlike,M10,0.11355332876834276,0.5348582265609476,0.5938081797374628,0.2969040898687314,better
qlike,M11,0.10683082288531848,1.9186799187497237,0.05757021555498887,0.028785107777494434,better
qlike,M12,0.10716319018791388,2.0358786889427356,0.04412229076320062,0.02206114538160031,better
qlike,M13,0.10719878894947892,2.0164869079214123,0.0461418739313908,0.0230709369656954,better
qlike,M14,0.10636368796439667,2.248296982203007,0.02651451038653696,0.01325725519326848,better
qlike,M15,0.10639492499671056,1.977237300096149,0.050471807134723434,0.025235903567361717,better
